# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6242910
# River:                 LEITHA
# Station:               NICKELSDORF (KLAERANLAGE)
# Country:               --
# Latitude (DD):       47.94611111
# Longitude (DD):      17.0925
# Catchment area (km²):      
# Altitude (m ASL):        127.22
# Next downstream station:      -
# Remarks:               
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1984 - 2018
# No. of years:          35
# Last update:           2022-08-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 420
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1984-01-01;--:--;   -999.000;      4.463; 100
1984-02-01;--:--;   -999.000;      5.342; 100
1984-03-01;--:--;   -999.000;      3.775; 100
1984-04-01;--:--;   -999.000;      8.520; 100
1984-05-01;--:--;   -999.000;     12.440; 100
1984-06-01;--:--;   -999.000;      6.936; 100
1984-07-01;--:--;   -999.000;      3.381; 100
1984-08-01;--:--;   -999.000;      3.974; 100
1984-09-01;--:--;   -999.000;      2.895; 100
1984-10-01;--:--;   -999.000;      4.688; 100
1984-11-01;--:--;   -999.000;      2.733; 100
1984-12-01;--:--;   -999.000;      2.534; 100
1985-01-01;--:--;   -999.000;      2.879; 100
1985-02-01;--:--;   -999.000;      7.479; 100
1985-03-01;--:--;   -999.000;     11.127; 100
1985-04-01;--:--;   -999.000;      9.989; 100
1985-05-01;--:--;   -999.000;      9.296; 100
1985-06-01;--:--;   -999.000;      8.013; 100
1985-07-01;--:--;   -999.000;      3.358; 100
1985-08-01;--:--;   -999.000;      6.715; 100
1985-09-01;--:--;   -999.000;      5.313; 100
1985-10-01;--:--;   -999.000;      3.272; 100
1985-11-01;--:--;   -999.000;      5.162; 100
1985-12-01;--:--;   -999.000;     10.310; 100
1986-01-01;--:--;   -999.000;     10.966; 100
1986-02-01;--:--;   -999.000;      8.347; 100
1986-03-01;--:--;   -999.000;     12.380; 100
1986-04-01;--:--;   -999.000;     17.820; 100
1986-05-01;--:--;   -999.000;     10.960; 100
1986-06-01;--:--;   -999.000;     11.654; 100
1986-07-01;--:--;   -999.000;      4.351; 100
1986-08-01;--:--;   -999.000;      3.651; 100
1986-09-01;--:--;   -999.000;      4.419; 100
1986-10-01;--:--;   -999.000;      4.150; 100
1986-11-01;--:--;   -999.000;      4.821; 100
1986-12-01;--:--;   -999.000;      4.612; 100
1987-01-01;--:--;   -999.000;      6.003; 100
1987-02-01;--:--;   -999.000;     13.210; 100
1987-03-01;--:--;   -999.000;     12.206; 100
1987-04-01;--:--;   -999.000;     18.973; 100
1987-05-01;--:--;   -999.000;     23.932; 100
1987-06-01;--:--;   -999.000;     16.301; 100
1987-07-01;--:--;   -999.000;      7.146; 100
1987-08-01;--:--;   -999.000;      7.437; 100
1987-09-01;--:--;   -999.000;      4.631; 100
1987-10-01;--:--;   -999.000;      4.533; 100
1987-11-01;--:--;   -999.000;      4.974; 100
1987-12-01;--:--;   -999.000;      8.338; 100
1988-01-01;--:--;   -999.000;      5.675; 100
1988-02-01;--:--;   -999.000;      4.591; 100
1988-03-01;--:--;   -999.000;      8.849; 100
1988-04-01;--:--;   -999.000;     16.393; 100
1988-05-01;--:--;   -999.000;      8.147; 100
1988-06-01;--:--;   -999.000;      8.855; 100
1988-07-01;--:--;   -999.000;      4.388; 100
1988-08-01;--:--;   -999.000;      4.600; 100
1988-09-01;--:--;   -999.000;      6.460; 100
1988-10-01;--:--;   -999.000;      4.260; 100
1988-11-01;--:--;   -999.000;      6.116; 100
1988-12-01;--:--;   -999.000;      9.743; 100
1989-01-01;--:--;   -999.000;      8.013; 100
1989-02-01;--:--;   -999.000;      7.029; 100
1989-03-01;--:--;   -999.000;      6.859; 100
1989-04-01;--:--;   -999.000;      6.941; 100
1989-05-01;--:--;   -999.000;     14.004; 100
1989-06-01;--:--;   -999.000;     13.803; 100
1989-07-01;--:--;   -999.000;     15.184; 100
1989-08-01;--:--;   -999.000;     13.585; 100
1989-09-01;--:--;   -999.000;     12.111; 100
1989-10-01;--:--;   -999.000;      8.475; 100
1989-11-01;--:--;   -999.000;      7.318; 100
1989-12-01;--:--;   -999.000;      4.833; 100
1990-01-01;--:--;   -999.000;      3.482; 100
1990-02-01;--:--;   -999.000;      4.294; 100
1990-03-01;--:--;   -999.000;      6.726; 100
1990-04-01;--:--;   -999.000;      6.611; 100
1990-05-01;--:--;   -999.000;      6.623; 100
1990-06-01;--:--;   -999.000;      7.066; 100
1990-07-01;--:--;   -999.000;      6.178; 100
1990-08-01;--:--;   -999.000;      2.110; 100
1990-09-01;--:--;   -999.000;      2.446; 100
1990-10-01;--:--;   -999.000;      3.094; 100
1990-11-01;--:--;   -999.000;      4.446; 100
1990-12-01;--:--;   -999.000;      4.596; 100
1991-01-01;--:--;   -999.000;      5.674; 100
1991-02-01;--:--;   -999.000;      4.476; 100
1991-03-01;--:--;   -999.000;      4.455; 100
1991-04-01;--:--;   -999.000;      3.013; 100
1991-05-01;--:--;   -999.000;     11.525; 100
1991-06-01;--:--;   -999.000;     10.705; 100
1991-07-01;--:--;   -999.000;     11.048; 100
1991-08-01;--:--;   -999.000;     27.592; 100
1991-09-01;--:--;   -999.000;      6.096; 100
1991-10-01;--:--;   -999.000;      5.589; 100
1991-11-01;--:--;   -999.000;      8.159; 100
1991-12-01;--:--;   -999.000;     10.458; 100
1992-01-01;--:--;   -999.000;     10.345; 100
1992-02-01;--:--;   -999.000;      8.636; 100
1992-03-01;--:--;   -999.000;      9.943; 100
1992-04-01;--:--;   -999.000;      9.863; 100
1992-05-01;--:--;   -999.000;      9.947; 100
1992-06-01;--:--;   -999.000;     11.686; 100
1992-07-01;--:--;   -999.000;      6.472; 100
1992-08-01;--:--;   -999.000;      2.577; 100
1992-09-01;--:--;   -999.000;      3.067; 100
1992-10-01;--:--;   -999.000;      5.091; 100
1992-11-01;--:--;   -999.000;      9.577; 100
1992-12-01;--:--;   -999.000;     11.900; 100
1993-01-01;--:--;   -999.000;      8.731; 100
1993-02-01;--:--;   -999.000;      7.840; 100
1993-03-01;--:--;   -999.000;      9.814; 100
1993-04-01;--:--;   -999.000;     12.193; 100
