# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6246185
# River:                 TEISCHNITZBACH
# Station:               SPOTTLING-TAURER
# Country:               --
# Latitude (DD):       47.0261
# Longitude (DD):      12.6344
# Catchment area (km²):      
# Altitude (m ASL):        1491.09
# Next downstream station:      -
# Remarks:               http://ehyd.gv.at/eHYD/MessstellenExtraData/owf?id=212126&file=4. AdaptAlp-ID: AU125
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951 - 2018
# No. of years:          68
# Last update:           2022-08-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 816
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1951-01-01;--:--;   -999.000;      0.110; 100
1951-02-01;--:--;   -999.000;      0.102; 100
1951-03-01;--:--;   -999.000;      0.072; 100
1951-04-01;--:--;   -999.000;      0.141; 100
1951-05-01;--:--;   -999.000;      0.523; 100
1951-06-01;--:--;   -999.000;      2.138; 100
1951-07-01;--:--;   -999.000;      1.871; 100
1951-08-01;--:--;   -999.000;      1.574; 100
1951-09-01;--:--;   -999.000;      0.919; 100
1951-10-01;--:--;   -999.000;      0.314; 100
1951-11-01;--:--;   -999.000;      0.218; 100
1951-12-01;--:--;   -999.000;      0.169; 100
1952-01-01;--:--;   -999.000;      0.112; 100
1952-02-01;--:--;   -999.000;      0.087; 100
1952-03-01;--:--;   -999.000;      0.075; 100
1952-04-01;--:--;   -999.000;      0.219; 100
1952-05-01;--:--;   -999.000;      0.435; 100
1952-06-01;--:--;   -999.000;      1.328; 100
1952-07-01;--:--;   -999.000;      1.795; 100
1952-08-01;--:--;   -999.000;      1.382; 100
1952-09-01;--:--;   -999.000;      0.589; 100
1952-10-01;--:--;   -999.000;      0.362; 100
1952-11-01;--:--;   -999.000;      0.285; 100
1952-12-01;--:--;   -999.000;      0.160; 100
1953-01-01;--:--;   -999.000;      0.112; 100
1953-02-01;--:--;   -999.000;      0.094; 100
1953-03-01;--:--;   -999.000;      0.120; 100
1953-04-01;--:--;   -999.000;      0.186; 100
1953-05-01;--:--;   -999.000;      0.861; 100
1953-06-01;--:--;   -999.000;      1.036; 100
1953-07-01;--:--;   -999.000;      1.862; 100
1953-08-01;--:--;   -999.000;      1.386; 100
1953-09-01;--:--;   -999.000;      0.759; 100
1953-10-01;--:--;   -999.000;      0.385; 100
1953-11-01;--:--;   -999.000;      0.270; 100
1953-12-01;--:--;   -999.000;      0.148; 100
1954-01-01;--:--;   -999.000;      0.074; 100
1954-02-01;--:--;   -999.000;      0.058; 100
1954-03-01;--:--;   -999.000;      0.054; 100
1954-04-01;--:--;   -999.000;      0.076; 100
1954-05-01;--:--;   -999.000;      0.291; 100
1954-06-01;--:--;   -999.000;      1.835; 100
1954-07-01;--:--;   -999.000;      1.138; 100
1954-08-01;--:--;   -999.000;      0.917; 100
1954-09-01;--:--;   -999.000;      0.610; 100
1954-10-01;--:--;   -999.000;      0.274; 100
1954-11-01;--:--;   -999.000;      0.200; 100
1954-12-01;--:--;   -999.000;      0.131; 100
1955-01-01;--:--;   -999.000;      0.086; 100
1955-02-01;--:--;   -999.000;      0.086; 100
1955-03-01;--:--;   -999.000;      0.078; 100
1955-04-01;--:--;   -999.000;      0.144; 100
1955-05-01;--:--;   -999.000;      0.399; 100
1955-06-01;--:--;   -999.000;      1.577; 100
1955-07-01;--:--;   -999.000;      2.033; 100
