# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6342935
# River:                 PARTNACH
# Station:               PARTENKIRCHEN
# Country:               --
# Latitude (DD):       47.48
# Longitude (DD):      11.12
# Catchment area (km²):      
# Altitude (m ASL):        730.06
# Next downstream station:      -
# Remarks:               AdaptAlp-ID: DE052 / EWA-ID: 9305097
# Owner of original data: Germany - Bayerisches Landesamt für Umwelt
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1920 - 2019
# No. of years:          100
# Last update:           2021-03-03
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1190
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1920-11-01;--:--;   -999.000;      2.458; 100
1920-12-01;--:--;   -999.000;      2.737; 100
1921-01-01;--:--;   -999.000;      2.435; 100
1921-02-01;--:--;   -999.000;      2.006; 100
1921-03-01;--:--;   -999.000;      2.665; 100
1921-04-01;--:--;   -999.000;      2.465; 100
1921-05-01;--:--;   -999.000;      6.325; 100
1921-06-01;--:--;   -999.000;      6.354; 100
1921-07-01;--:--;   -999.000;      5.487; 100
1921-08-01;--:--;   -999.000;      3.682; 100
1921-09-01;--:--;   -999.000;      4.621; 100
1921-10-01;--:--;   -999.000;      3.292; 100
1921-11-01;--:--;   -999.000;      3.180; 100
1921-12-01;--:--;   -999.000;      2.256; 100
1922-01-01;--:--;   -999.000;      2.544; 100
1922-02-01;--:--;   -999.000;      2.184; 100
1922-03-01;--:--;   -999.000;      3.161; 100
1922-04-01;--:--;   -999.000;      4.018; 100
1922-05-01;--:--;   -999.000;      8.212; 100
1922-06-01;--:--;   -999.000;     11.739; 100
1922-07-01;--:--;   -999.000;     10.777; 100
1922-08-01;--:--;   -999.000;      5.525; 100
1922-09-01;--:--;   -999.000;      8.705; 100
1922-10-01;--:--;   -999.000;      4.997; 100
1922-11-01;--:--;   -999.000;      2.651; 100
1922-12-01;--:--;   -999.000;      2.057; 100
1923-01-01;--:--;   -999.000;      1.590; 100
1923-02-01;--:--;   -999.000;      1.929; 100
1923-03-01;--:--;   -999.000;      2.325; 100
1923-04-01;--:--;   -999.000;      4.215; 100
1923-05-01;--:--;   -999.000;      5.807; 100
1923-06-01;--:--;   -999.000;      5.750; 100
1923-07-01;--:--;   -999.000;      6.774; 100
1923-08-01;--:--;   -999.000;      4.486; 100
1923-09-01;--:--;   -999.000;      2.775; 100
1923-10-01;--:--;   -999.000;      2.728; 100
1923-11-01;--:--;   -999.000;      1.711; 100
1923-12-01;--:--;   -999.000;      1.586; 100
1924-01-01;--:--;   -999.000;      1.301; 100
1924-02-01;--:--;   -999.000;      1.134; 100
1924-03-01;--:--;   -999.000;      1.782; 100
1924-04-01;--:--;   -999.000;      4.800; 100
1924-05-01;--:--;   -999.000;      6.186; 100
1924-06-01;--:--;   -999.000;      7.256; 100
1924-07-01;--:--;   -999.000;      5.758; 100
1924-08-01;--:--;   -999.000;      6.970; 100
1924-09-01;--:--;   -999.000;      4.721; 100
1924-10-01;--:--;   -999.000;      1.650; 100
1924-11-01;--:--;   -999.000;      1.380; 100
1924-12-01;--:--;   -999.000;      1.197; 100
1925-01-01;--:--;   -999.000;      1.023; 100
1925-02-01;--:--;   -999.000;      1.142; 100
1925-03-01;--:--;   -999.000;      1.174; 100
1925-04-01;--:--;   -999.000;      2.469; 100
1925-05-01;--:--;   -999.000;      7.003; 100
1925-06-01;--:--;   -999.000;      5.993; 100
1925-07-01;--:--;   -999.000;      5.882; 100
1925-08-01;--:--;   -999.000;      8.663; 100
1925-09-01;--:--;   -999.000;      5.305; 100
1925-10-01;--:--;   -999.000;      3.134; 100
