# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-08-14
#
# GRDC-No.:              6943180
# River:                 CLEMIGIA
# Station:               SCARLTAL
# Country:               --
# Latitude (DD):       46.7301
# Longitude (DD):      10.3052
# Catchment area (km²):      
# Altitude (m ASL):        1702.127
# Next downstream station:      -
# Remarks:               EWA-ID: 9905006.
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972 - 1981
# No. of years:          10
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 120
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1972-01-01;--:--;   -999.000;      0.649; 100
1972-02-01;--:--;   -999.000;      0.518; 100
1972-03-01;--:--;   -999.000;      0.575; 100
1972-04-01;--:--;   -999.000;      0.814; 100
1972-05-01;--:--;   -999.000;      1.931; 100
1972-06-01;--:--;   -999.000;      5.556; 100
1972-07-01;--:--;   -999.000;      5.237; 100
1972-08-01;--:--;   -999.000;      2.611; 100
1972-09-01;--:--;   -999.000;      1.468; 100
1972-10-01;--:--;   -999.000;      1.064; 100
1972-11-01;--:--;   -999.000;      0.945; 100
1972-12-01;--:--;   -999.000;      0.725; 100
1973-01-01;--:--;   -999.000;      0.659; 100
1973-02-01;--:--;   -999.000;      0.577; 100
1973-03-01;--:--;   -999.000;      0.586; 100
1973-04-01;--:--;   -999.000;      0.601; 100
1973-05-01;--:--;   -999.000;      3.741; 100
1973-06-01;--:--;   -999.000;      4.067; 100
1973-07-01;--:--;   -999.000;      3.171; 100
1973-08-01;--:--;   -999.000;      2.356; 100
1973-09-01;--:--;   -999.000;      2.093; 100
1973-10-01;--:--;   -999.000;      2.141; 100
1973-11-01;--:--;   -999.000;      1.268; 100
1973-12-01;--:--;   -999.000;      0.756; 100
1974-01-01;--:--;   -999.000;      1.025; 100
1974-02-01;--:--;   -999.000;      0.914; 100
1974-03-01;--:--;   -999.000;      0.871; 100
1974-04-01;--:--;   -999.000;      1.212; 100
1974-05-01;--:--;   -999.000;      2.553; 100
1974-06-01;--:--;   -999.000;      5.202; 100
1974-07-01;--:--;   -999.000;      4.852; 100
